Country Name,Country Name,Country Code,Government Type,Capital City,Date of Founding/Independence,Latitude of Capital,Longitude of Capital,Telephones - fixed lines,Telephones - mobile cellular,Internet users,Broadband - fixed subscriptions,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor force,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Imports,Reserves of foreign exchange and gold,Debt - external,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Carbon dioxide emissions from consumption of energy,Area,Military expenditures,Population,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Airports,Railways,Roadways,Merchant marine
Gabon,Gabon,GA,republic,Libreville,8/17/1960,0 23 N,9 27 E,"21,235","2,663,243","835,408","14,967","$36,660,000,000 ",0.5,"$18,100 ",25.6,1.8,"557,800",28,42.2,17.6,-1.9,62.7,2.7,3,15,"$2,357,000,000 ","$2,357,000,000 ","$2,910,000,000 ",unknown,"($725,000,000)","$5,564,000,000 ","$2,829,000,000 ","$981,600,000 ","$6,490,000,000 ",unknown,unknown,"2,244,000,000","2,071,000,000",0,"344,000,000","671,000.00",51,0,49,0,"196,000","214,200",0,"2,000,000,000","16,580","24,000","4,662","10,680","401,000,000","401,000,000",0,0,"28,320,000,000","4,293,000.00","267,667.00",1.53,"2,119,036",20.5,2.73,26.5,6.2,7,252,32.9,68,3.52,15,6.4,2.7,35.7,44,649,"14,300",29
"Gambia, The","Gambia, The",GM,republic,Banjul,2/18/1965,13 27 N,16 34 W,"37,969","2,838,127","371,785","3,750","$5,556,000,000 ",4.6,"$2,600 ",6.8,-0.8,"777,100",unknown,50.2,20.3,-2.6,88,8,9,29,"$297,200,000 ","$297,200,000 ","$552,500,000 ",unknown,"($194,000,000)","$72,900,000 ","$376,900,000 ","$170,000,000 ","$586,800,000 ",unknown,unknown,"304,100,000","282,800,000",0,0,"117,000.00",97,0,0,3,0,0,0,0,0,"3,800",42,"3,738",0,0,0,0,0,"607,300.00","11,300.00",3,"2,092,731",21.3,1.99,28.6,6.9,-1.8,597,58.4,65.4,3.42,10.3,16.5,2.1,13.1,1,unknown,"2,977",9
Georgia,Georgia,GE,republic,Tbilisi,4/9/1991,41 41 N,44 50 E,"713,826","5,730,625","2,464,107","770,113","$39,850,000,000 ",5,"$10,700 ",23,6.7,"1,998,000",11.8,40.1,28.7,-3.8,44.9,6,7,11.49,"$2,301,000,000 ","$2,301,000,000 ","$8,961,000,000 ","$1,155,000,000 ","($1,348,000,000)","$3,566,000,000 ","$7,415,000,000 ","$3,039,000,000 ","$16,990,000,000 ","$17,470,000,000 ","$2,477,000,000 ","13,240,000,000","12,370,000,000","560,000,000","1,329,000,000","4,641,000.00",35,0,65,0,400,"3,006","2,660","35,000,000",247,"27,000","2,052","28,490","7,363,000","2,294,000,000",0,"2,294,000,000","8,495,000,000","9,912,000.00","69,700.00",2.3,"4,003,000",38.3,0.01,12.1,10.9,-1.1,25,14.7,76.6,1.76,21.7,1.1,3.8,30.5,22,"1,363","20,295",82
Germany,Germany,DE,federal republic,Berlin,1/18/1871,52 31 N,13 24 E,"44,400,000","106,000,000","72,365,643","33,217,000","$4,199,000,000,000 ",2.5,"$50,800 ",28,3.3,"45,900,000",3.8,27,45,1.3,63.9,1.7,0,1.67,"$2,453,000,000,000 ","$2,453,000,000,000 ","$5,033,000,000,000 ","$1,716,000,000,000 ","$291,000,000,000 ","$1,434,000,000,000 ","$1,135,000,000,000 ","$200,100,000,000 ","$5,326,000,000,000 ","$1,653,000,000,000 ","$2,298,000,000,000 ","612,800,000,000","536,500,000,000","78,860,000,000","28,340,000,000","208,500,000.00",41,5,2,52,"41,000","6,569","1,836,000","129,600,000","2,158,000","2,460,000","494,000","883,800","7,900,000,000","93,360,000,000","34,610,000,000","119,500,000,000","39,500,000,000","847,600,000.00","357,022.00",1.38,"80,457,737",47.4,-0.17,8.6,11.8,1.5,7,3.4,80.9,1.46,22.3,unknown,4.8,6.8,539,"33,590","625,000",629
Ghana,Ghana,GH,constitutional democracy,Accra,3/6/1957,5 33 N,0 13 W,"301,551","36,751,761","9,328,018","56,810","$134,000,000,000 ",8.4,"$4,700 ",9,16.7,"12,490,000",11.9,unknown,20.3,-6,71.8,12.4,20,30.35,"$7,018,000,000 ","$7,018,000,000 ","$14,250,000,000 ","$13,410,000,000 ","($2,131,000,000)","$13,840,000,000 ","$12,650,000,000 ","$7,555,000,000 ","$22,140,000,000 ","$19,850,000,000 ","$16,620,000,000 ","12,520,000,000","9,363,000,000","187,000,000","511,000,000","3,801,000.00",58,0,42,1,"173,000","104,000","6,220","660,000,000","2,073","90,000","2,654","85,110","914,400,000","1,232,000,000",0,"317,400,000","22,650,000,000","13,670,000.00","238,533.00",0.41,"28,102,471",21.2,2.16,30.2,6.8,-1.7,308,34.1,67.4,3.96,10.9,11.2,3.6,15.2,10,947,"109,515",44
Greece,Greece,GR,parliamentary republic,Athens,1830,37 59 N,23 44 E,"5,176,475","12,937,106","7,443,016","3,778,263","$299,300,000,000 ",1.4,"$27,800 ",10.9,3.5,"4,769,000",21.5,36.7,48.8,0.8,181.8,1.1,0.05,5.25,"$106,600,000,000 ","$106,600,000,000 ","$248,700,000,000 ","$42,080,000,000 ","($1,596,000,000)","$31,540,000,000 ","$52,270,000,000 ","$7,807,000,000 ","$506,600,000,000 ","$35,480,000,000 ","$29,640,000,000 ","52,050,000,000","56,890,000,000","1,037,000,000","9,833,000,000","19,170,000.00",57,0,14,29,"4,100","3,229","484,300","10,000,000","655,400","304,100","371,900","192,200","8,000,000","4,927,000,000",0,"4,984,000,000","991,100,000","69,370,000.00","131,957.00",2.28,"10,761,523",44.9,-0.07,8.3,11.4,2.3,3,4.5,80.8,1.44,24.9,unknown,unknown,43.6,77,"2,548","117,000","1,343"
Greenland,Greenland,GL,parliamentary democracy within a constitutional monarchy,Nuuk,none,64 11 N,51 45 W,"16,000","61,000","39,544",unknown,"$2,413,000,000 ",7.7,"$41,800 ",unknown,unknown,"26,840",9.1,33.9,77.4,5.6,13,0.3,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"$407,100,000 ","$783,500,000 ",unknown,"$36,400,000 ",unknown,unknown,"538,000,000","468,000,000",0,0,"187,000.00",51,0,49,0,0,0,0,0,0,"4,000",0,"3,973",0,0,0,0,0,"613,800.00","2,166,086.00",unknown,"57,691",34,-0.04,14.3,8.8,-6,unknown,8.7,72.9,1.97,unknown,unknown,unknown,unknown,15,unknown,unknown,8
Grenada,Grenada,GD,parliamentary democracy,Saint George's,2/7/1974,12 03 N,61 45 W,"32,491","113,177","62,123","22,235","$1,634,000,000 ",5.1,"$15,100 ",11.7,10,"55,270",24,unknown,25.8,3.2,70.4,0.9,6.5,8.31,"$223,300,000 ","$223,300,000 ","$550,000,000 ",unknown,"($77,000,000)","$39,900,000 ","$316,000,000 ","$199,100,000 ","$793,500,000 ",unknown,unknown,"202,100,000","185,100,000",0,0,"51,100.00",96,0,0,4,0,0,0,0,0,"2,000",0,"1,886",0,0,0,0,0,"283,600.00",344,unknown,"112,207",32.1,0.42,15.2,8.2,-2.8,25,9.4,74.8,2,21.3,unknown,3.2,unknown,3,unknown,"1,127",6
Guatemala,Guatemala,GT,constitutional democratic republic,Guatemala City,9/15/1821,14 37 N,90 31 W,"2,461,109","19,986,482","5,241,952","506,000","$138,100,000,000 ",2.8,"$8,200 ",13.6,1.8,"6,664,000",2.3,53,10.8,-1.3,24.7,4.4,7.53,13.05,"$12,230,000,000 ","$12,230,000,000 ","$32,310,000,000 ",unknown,"$1,134,000,000 ","$11,120,000,000 ","$17,110,000,000 ","$11,770,000,000 ","$22,920,000,000 ","$16,200,000,000 ",unknown,"12,120,000,000","10,100,000,000","1,858,000,000","747,000,000","4,605,000.00",41,0,31,28,"9,600","9,383",0,"83,070,000","1,162","89,000","10,810","97,900",0,0,0,0,"2,960,000,000","17,150,000.00","108,889.00",0.35,"16,581,273",22.5,1.72,24.6,5,-2.4,95,23.3,71.8,2.87,21.2,12.4,2.8,5,291,800,"17,621",9
Guinea,Guinea,GN,republic,Conakry,10/2/1958,9 30 N,13 42 W,0,"10,800,000","1,185,148","1,100","$27,970,000,000 ",8.2,"$2,200 ",5.1,11,"5,558,000",2.7,39.4,16.6,-0.5,37.9,8.9,22.25,22.2,"$1,840,000,000 ","$1,840,000,000 ","$1,762,000,000 ",unknown,"($705,000,000)","$3,514,000,000 ","$4,799,000,000 ","$331,800,000 ","$1,458,000,000 ","$3,174,000,000 ","$1,800,000 ","598,000,000","556,100,000",0,0,"550,000.00",33,0,67,0,0,0,0,0,0,"19,000",0,"18,460",0,0,0,0,0,"2,794,000.00","245,857.00",2.47,"11,855,411",19,2.75,36.4,8.9,0,576,55.3,62.1,4.98,7.7,18.3,2.2,1,16,"1,086","44,301",1
Guinea-Bissau,Guinea-Bissau,GW,republic,Bissau,9/24/1973,11 51 N,15 35 W,0,"1,434,822","66,169",629,"$3,171,000,000 ",5.9,"$1,900 ",8.6,2.5,"731,300",unknown,unknown,18.2,-1.3,53.9,1.1,4.25,5.5,"$583,600,000 ","$583,600,000 ","$250,300,000 ",unknown,"($27,000,000)","$328,100,000 ","$283,500,000 ","$356,400,000 ","$1,095,000,000 ",unknown,unknown,"39,000,000","36,270,000",0,0,"28,300.00",99,0,0,1,0,0,0,0,0,"2,700",0,"2,625",0,0,0,0,0,"397,900.00","36,125.00",1.64,"1,833,247",17.8,2.48,37.3,8.5,-4,667,54.8,61.4,4.81,9.5,17,2.1,unknown,8,unknown,"4,400",9
Guyana,Guyana,GY,republic,Georgetown,5/26/1966,6 48 N,58 09 W,"135,795","643,210","262,425","64,889","$6,301,000,000 ",2.1,"$8,100 ",10.5,-5,"313,800",11.1,44.6,28.1,-4.5,52.2,2,5.5,13,"$758,400,000 ","$758,400,000 ","$1,903,000,000 ","$610,900,000 ","($237,000,000)","$1,439,000,000 ","$1,626,000,000 ","$565,400,000 ","$1,690,000,000 ",unknown,unknown,"1,010,000,000","790,100,000",0,0,"428,000.00",89,0,0,11,0,0,0,0,0,"14,000",0,"13,720",0,0,0,0,0,"2,131,000.00","214,969.00",1.69,"740,685",26.7,0.48,15.4,7.4,-3.2,667,29.5,68.9,1.97,20.2,8.2,6.3,21.6,117,unknown,"3,995",55
Haiti,Haiti,HT,republic,Port-au-Prince,1/1/1804,18 32 N,72 20 W,"5,703","6,486,549","1,282,686","29,900","$19,970,000,000 ",1.2,"$1,800 ",24.9,0.9,"4,594,000",40.6,60.8,18.2,-1,31.1,14.7,unknown,13.1,"$1,273,000,000 ","$1,273,000,000 ","$3,112,000,000 ",unknown,"($348,000,000)","$980,200,000 ","$3,618,000,000 ","$2,361,000,000 ","$2,762,000,000 ","$1,460,000,000 ",unknown,"1,023,000,000","406,200,000",0,0,"332,000.00",82,0,18,0,0,0,0,0,0,"21,000",0,"20,030",0,0,0,0,0,"3,595,000.00","27,750.00",unknown,"10,788,440",23.3,1.31,22.6,7.5,-2,480,45.4,64.6,2.66,22.7,9.5,2.4,unknown,14,unknown,"4,266",4
Honduras,Honduras,HN,democratic constitutional republic,Tegucigalpa,9/15/1821,14 06 N,87 13 W,"491,107","8,233,499","2,667,978","232,990","$46,300,000,000 ",4.8,"$5,600 ",22.1,4.5,"3,735,000",5.6,47.1,20.3,-2.7,39.5,3.9,6.25,19.26,"$2,827,000,000 ","$2,827,000,000 ","$13,300,000,000 ",unknown,"($380,000,000)","$8,675,000,000 ","$11,320,000,000 ","$4,708,000,000 ","$8,625,000,000 ",unknown,unknown,"8,501,000,000","7,220,000,000","536,000,000","195,000,000","2,546,000.00",40,0,25,34,0,0,0,0,0,"59,000","12,870","56,120",0,0,0,0,0,"9,436,000.00","112,090.00",1.71,"9,182,766",23.3,1.56,22,5.3,-1.1,65,16.7,71.3,2.61,21.4,7.1,6,7.9,103,699,"14,742",550
Hungary,Hungary,HU,parliamentary democracy,Budapest,11/16/1918,47 30 N,19 05 E,"3,131,598","12,030,940","7,826,695","2,956,585","$289,600,000,000 ",4,"$29,600 ",25.7,7.4,"4,599,000",4.2,28.2,44.5,-2,73.6,2.4,0.9,1.48,"$74,770,000,000 ","$74,770,000,000 ","$86,220,000,000 ","$27,700,000,000 ","$4,390,000,000 ","$98,740,000,000 ","$96,300,000,000 ","$28,000,000,000 ","$138,100,000,000 ","$290,000,000,000 ","$212,000,000,000 ","30,220,000,000","39,370,000,000","5,240,000,000","17,950,000,000","8,639,000.00",64,22,1,13,"16,000","2,713","121,000","24,000,000","152,400","167,700","58,720","82,110","1,812,000,000","10,390,000,000","3,520,000,000","13,370,000,000","6,598,000,000","51,280,000.00","93,028.00",1.21,"9,825,704",42.7,-0.26,8.9,12.8,1.3,12,4.8,76.3,1.45,26.4,unknown,4.7,10.7,41,"8,049","203,601",unknown
Iceland,Iceland,IS,constitutional republic,Reykjavik,12/1/1918,64 09 N,21 57 W,"146,213","410,662","329,967","133,574","$18,180,000,000 ",4,"$52,200 ",25.8,2.4,"198,700",2.8,28,42.4,1.5,40,1.8,5.4,7.26,"$4,945,000,000 ","$4,945,000,000 ","$24,510,000,000 ","$2,825,000,000 ","$857,000,000 ","$4,957,000,000 ","$6,525,000,000 ","$6,567,000,000 ","$21,700,000,000 ","$6,666,000,000 ","$11,240,000,000 ","18,170,000,000","17,680,000,000",0,0,"2,772,000.00",4,0,71,25,0,0,0,0,0,"20,850","2,530","20,220",0,0,0,0,0,"3,228,000.00","103,000.00",0.3,"343,518",36.7,1.08,13.6,6.5,3.7,4,2.1,83.1,1.99,21.9,unknown,7.5,7.9,96,unknown,"12,898",33
India,India,IN,federal republic,New Delhi,8/15/1947,28 36 N,77 12 E,"23,234,687","1,168,902,277","374,328,160","17,856,024","$9,474,000,000,000 ",6.7,"$7,200 ",28.8,5.5,"521,900,000",8.5,35.2,9.2,-3.5,71.2,3.6,6,9.51,"$451,500,000,000 ","$451,500,000,000 ","$1,927,000,000,000 ","$1,516,000,000,000 ","($48,660,000,000)","$304,100,000,000 ","$452,200,000,000 ","$409,800,000,000 ","$501,600,000,000 ","$377,500,000,000 ","$155,200,000,000 ","1,386,000,000,000","1,137,000,000,000","5,150,000,000","5,617,000,000","367,800,000.00",71,2,12,16,"709,000",0,"4,057,000","4,495,000,000","4,897,000","4,521,000","1,305,000","653,300","31,540,000,000","55,430,000,000","76,450,000","23,960,000,000","1,290,000,000,000","2,383,000,000.00","3,287,263.00",2.42,"1,296,834,042",28.1,1.14,18.7,7.3,0,145,37.8,69.1,2.4,3.9,36.3,3.8,10.1,346,"68,525","4,699,024","1,719"
Indonesia,Indonesia,ID,republic,Jakarta,8/17/1945,6 10 S,106 49 E,"11,172,021","458,923,202","65,525,226","6,044,712","$3,250,000,000,000 ",5.1,"$12,400 ",31.7,4.1,"125,000,000",5.4,36.8,13,-2.7,28.8,3.8,6.37,11.07,"$102,700,000,000 ","$102,700,000,000 ","$422,400,000,000 ","$523,800,000,000 ","($17,330,000,000)","$168,900,000,000 ","$150,100,000,000 ","$130,200,000,000 ","$344,400,000,000 ","$251,500,000,000 ","$20,500,000,000 ","235,400,000,000","213,400,000,000",0,"693,000,000","61,430,000.00",85,0,9,6,"772,000","302,300","498,500","3,310,000,000","950,000","1,601,000","79,930","591,500","72,090,000,000","42,320,000,000","29,780,000,000",0,"2,866,000,000,000","540,700,000.00","1,904,569.00",0.72,"262,787,403",30.5,0.83,15.9,6.5,-1.1,177,21.9,73.2,2.08,6.9,19.9,3.6,15.6,673,"8,159","496,607","9,053"
Iran,Iran,IR,theocratic republic,Tehran,4/1/1979,35 42 N,51 25 E,"31,182,812","116,500,000","67,600,000","10,057,769","$1,640,000,000,000 ",3.7,"$20,100 ",37.9,3,"30,500,000",11.8,44.5,17.3,-2.3,39.5,9.6,unknown,18,"$48,080,000,000 ","$48,080,000,000 ","$348,200,000,000 ","$89,430,000,000 ","$9,491,000,000 ","$101,400,000,000 ","$76,390,000,000 ","$120,600,000,000 ","$7,995,000,000 ","$50,330,000,000 ","$5,226,000,000 ","272,300,000,000","236,300,000,000","6,822,000,000","4,221,000,000","77,600,000.00",84,1,15,0,"4,251,000","750,200",0,"157,200,000,000","1,764,000","1,804,000","397,200","64,160","214,500,000,000","206,900,000,000","11,640,000,000","3,993,000,000","33,720,000,000,000","638,300,000.00","1,648,195.00",2.67,"83,024,745",30.8,1.19,17.4,5.3,-0.2,16,15.5,74.2,1.96,25.8,4.1,4,28.4,319,"8,484","223,485",720
Iraq,Iraq,IQ,parliamentary democracy,Baghdad,10/3/1932,33 20 N,44 24 E,"2,918,396","33,335,316","8,098,401",unknown,"$649,300,000,000 ",-2.1,"$16,700 ",19,0.7,"8,900,000",16,unknown,35.7,-4.2,59.7,0.1,6,12.7,"$60,100,000,000 ","$60,100,000,000 ","$34,610,000,000 ","$4,000,000,000 ","$4,344,000,000 ","$61,400,000,000 ","$39,470,000,000 ","$48,880,000,000 ","$73,020,000,000 ","$26,630,000,000 ","$2,109,000,000 ","75,450,000,000","38,460,000,000",0,"11,970,000,000","27,090,000.00",91,0,9,0,"4,613,000","3,092,000",0,"148,800,000,000","398,000","826,000","8,284","255,100","1,274,000,000","2,633,000,000",0,"1,359,000,000","3,820,000,000,000","117,900,000.00","438,317.00",2.73,"40,194,216",20.2,2.5,30,3.8,-1.1,79,37.5,74.9,3.94,30.4,7.2,unknown,25.6,102,"2,272","59,623",80
Ireland,Ireland,IE,republic; parliamentary democracy,Dublin,12/6/1921,53 19 N,6 14 W,"1,842,026","4,898,872","4,069,432","1,401,356","$353,300,000,000 ",7.2,"$73,200 ",33.1,7.8,"2,226,000",6.7,31.3,26,-0.3,68.6,0.3,0.05,4.08,"$191,900,000,000 ","$191,900,000,000 ","$299,100,000,000 ","$128,000,000,000 ","$28,140,000,000 ","$219,700,000,000 ","$98,130,000,000 ","$4,412,000,000 ","$2,470,000,000,000 ","$1,540,000,000,000 ","$1,560,000,000,000 ","28,530,000,000","25,680,000,000","1,583,000,000","871,000,000","9,945,000.00",65,0,2,33,0,"5,900","66,210",0,"64,970","153,700","37,040","126,600","3,511,000,000","5,238,000,000",0,"1,642,000,000","9,911,000,000","36,910,000.00","70,273.00",0.33,"5,068,050",37.1,1.11,13.8,6.6,4,5,3.6,81,1.96,25.3,unknown,3.7,14.4,40,"4,301","99,830",88
Israel,Israel,IL,parliamentary democracy,Jerusalem,5/14/1948,31 46 N,35 14 E,"3,240,000","10,540,000","6,521,539","2,342,000","$317,100,000,000 ",3.3,"$36,400 ",23.6,3.5,"4,021,000",4.2,42.8,26.5,-2,60.9,0.2,0.1,3.5,"$100,400,000,000 ","$100,400,000,000 ","$290,700,000,000 ","$243,900,000,000 ","$10,120,000,000 ","$58,670,000,000 ","$68,610,000,000 ","$113,000,000,000 ","$88,660,000,000 ","$129,100,000,000 ","$100,300,000,000 ","63,090,000,000","55,000,000,000","5,200,000,000",0,"17,590,000.00",95,0,0,5,390,0,"231,600","12,730,000","294,300","242,200","111,700","98,860","9,826,000,000","9,995,000,000",0,"509,700,000","176,000,000,000","73,820,000.00","21,937.00",5.1,"8,424,904",30.1,1.49,17.9,5.2,2.1,3,3.4,82.7,2.63,26.1,unknown,5.8,7.3,47,"1,384","19,555",42
Italy,Italy,IT,republic,Rome,3/17/1861,41 54 N,12 29 E,"20,700,659","83,871,543","38,025,661","16,586,376","$2,317,000,000,000 ",1.5,"$38,200 ",20.3,2.1,"25,940,000",11.3,31.9,46.6,-2.3,131.8,1.3,0.25,3,"$1,347,000,000,000 ","$1,347,000,000,000 ","$3,422,000,000,000 ","$587,300,000,000 ","$53,420,000,000 ","$496,300,000,000 ","$432,900,000,000 ","$151,200,000,000 ","$2,444,000,000,000 ","$552,100,000,000 ","$671,800,000,000 ","275,300,000,000","293,500,000,000","6,155,000,000","43,180,000,000","114,200,000.00",54,0,14,32,"90,000","13,790","1,341,000","487,800,000","1,607,000","1,236,000","615,900","422,500","5,550,000,000","75,150,000,000","271,800,000","69,660,000,000","38,110,000,000","351,000,000.00","301,340.00",1.22,"62,246,674",45.8,0.16,8.5,10.5,3.6,2,3.2,82.4,1.45,19.9,unknown,3.8,34.7,129,"20,182","487,700","1,405"
Jamaica,Jamaica,JM,constitutional parliamentary democracy,Kingston,8/6/1962,18 00 N,76 48 W,"297,027","3,091,222","1,336,653","239,120","$26,060,000,000 ",0.7,"$9,200 ",18.3,0.9,"1,348,000",12.2,35,29.7,0.5,101,4.4,3.25,14.91,"$3,550,000,000 ","$3,550,000,000 ","$7,326,000,000 ","$8,393,000,000 ","($679,000,000)","$1,296,000,000 ","$5,151,000,000 ","$3,781,000,000 ","$14,940,000,000 ","$15,030,000,000 ","$604,000,000 ","4,007,000,000","2,847,000,000",0,0,"1,078,000.00",83,0,3,15,0,0,"24,360",0,"24,250","55,000",823,"30,580",0,"198,200,000",0,"198,200,000",0,"8,900,000.00","10,991.00",1.35,"2,812,090",28.6,-0.05,16.5,7.6,-9.4,80,12.4,74.5,2.09,24.7,2.2,5.4,24.1,28,unknown,"22,121",43
Japan,Japan,JP,a parliamentary government with a constitutional monarchy,Tokyo,5/3/1947,35 41 N,139 45 E,"63,941,094","170,128,499","116,565,962","40,390,640","$5,443,000,000,000 ",1.7,"$42,900 ",28,1.4,"65,010,000",2.9,37.9,35.2,-3.5,237.6,0.5,0.3,1.48,"$6,317,000,000,000 ","$6,317,000,000,000 ","$13,070,000,000,000 ","$4,895,000,000,000 ","$196,100,000,000 ","$688,900,000,000 ","$644,700,000,000 ","$1,264,000,000,000 ","$3,240,000,000,000 ","$252,900,000,000 ","$1,547,000,000,000 ","989,300,000,000","943,700,000,000",0,0,"295,900,000.00",71,1,8,20,"3,200",0,"3,208,000","44,120,000","3,467,000","3,894,000","370,900","1,100,000","3,058,000,000","127,200,000,000","169,900,000","116,600,000,000","20,900,000,000","1,268,000,000.00","377,915.00",0.93,"126,168,156",47.7,-0.24,7.5,9.9,0,5,2,85.5,1.42,4.3,3.4,3.5,3.6,175,"27,311","1,218,772","5,299"
Jordan,Jordan,JO,constitutional monarchy,Amman,5/25/1946,31 57 N,35 56 E,"404,112","9,818,446","5,099,674","456,610","$89,000,000,000 ",2,"$9,200 ",9.1,1.4,"2,295,000",18.3,39.7,23.6,-5.1,95.9,3.3,3.75,8.65,"$14,640,000,000 ","$14,640,000,000 ","$42,700,000,000 ","$24,250,000,000 ","($4,257,000,000)","$7,511,000,000 ","$18,210,000,000 ","$15,560,000,000 ","$29,340,000,000 ","$33,830,000,000 ","$646,500,000 ","18,600,000,000","16,820,000,000","50,000,000","334,000,000","4,764,000.00",87,0,0,12,22,0,"67,980","1,000,000","67,240","139,000",0,"68,460","121,800,000","5,238,000,000","1,359,000,000","6,456,000,000","6,031,000,000","27,390,000.00","89,342.00",4.68,"10,458,413",22.8,2.02,23.6,3.4,0,46,13.7,75,3.14,35.5,3,3.6,35.6,18,509,"7,203",32
Kazakhstan,Kazakhstan,KZ,"republic; authoritarian presidential rule,  with little power outside the executive branch",Astana,12/16/1991,51 10 N,71 25 E,"3,697,300","26,473,000","14,100,751","2,573,500","$478,600,000,000 ",4,"$26,300 ",23.7,5.8,"8,970,000",5,26.3,22.3,-1.8,20.8,7.4,11,14.17,"$14,990,000,000 ","$14,990,000,000 ","$54,920,000,000 ","$741,700,000 ","($5,353,000,000)","$49,290,000,000 ","$31,850,000,000 ","$30,750,000,000 ","$167,500,000,000 ","$161,600,000,000 ","$35,040,000,000 ","100,800,000,000","94,230,000,000","5,100,000,000","1,318,000,000","20,150,000.00",86,0,14,1,"1,856,000","1,409,000","1,480","30,000,000,000","290,700","274,000","105,900","39,120","22,410,000,000","15,370,000,000","12,800,000,000","5,748,000,000","2,407,000,000,000","304,600,000.00","2,724,900.00",0.95,"18,744,548",30.9,0.98,17.5,8.2,0.4,10,19,71.4,2.22,21,2,2.8,3.9,96,"16,614","95,409",121
Kenya,Kenya,KE,republic,Nairobi,12/12/1963,1 17 S,36 49 E,"69,861","42,815,109","12,165,597","288,303","$163,700,000,000 ",4.9,"$3,500 ",10.4,3.6,"19,600,000",40,48.5,17.6,-6.7,54.2,8,10,13.67,"$14,070,000,000 ","$14,070,000,000 ","$32,000,000,000 ","$19,330,000,000 ","($5,021,000,000)","$5,792,000,000 ","$15,990,000,000 ","$7,354,000,000 ","$27,590,000,000 ","$8,738,000,000 ","$1,545,000,000 ","9,634,000,000","7,863,000,000","39,100,000","184,000,000","2,401,000.00",33,0,34,33,0,0,"12,550",0,"13,960","109,000",173,"90,620",0,0,0,0,0,"17,980,000.00","580,367.00",1.3,"48,397,527",20,1.57,22.6,6.7,-0.2,342,36.1,64.6,2.81,7.1,11.2,5.2,unknown,197,"3,819","177,800",22
Kiribati,Kiribati,KI,republic,Tarawa,7/12/1979,1 21 N,173 02 E,765,"46,123","14,649",76,"$227,000,000 ",3.1,"$2,000 ",unknown,1.1,"39,000",30.6,unknown,76.8,-64.1,26.3,0.4,unknown,unknown,unknown,unknown,unknown,unknown,"$18,000,000 ","$84,750,000 ","$107,100,000 ",$0 ,"$40,900,000 ",unknown,unknown,"29,000,000","26,970,000",0,0,"11,000.00",73,0,0,27,0,0,0,0,0,400,0,420,0,0,0,0,0,"58,850.00",811,unknown,"109,367",25,1.12,21,7,-2.8,92,31.1,66.9,2.34,46,14.9,unknown,17.1,19,unknown,670,111
"Korea, North","Korea, North",KP,Communist state one-man dictatorship,Pyongyang,8/15/1945,39 01 N,125 45 E,"1,180,000","3,606,000",unknown,unknown,"$40,000,000,000 ",-1.1,"$1,700 ",unknown,1,"14,000,000",25.6,unknown,11.4,-0.4,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"$45,820,000,000 ","$43,750,000,000 ",unknown,"$5,000,000,000 ","$1,878,000,000 ",unknown,"16,570,000,000","13,890,000,000",0,0,"10,010,000.00",45,0,55,0,0,0,"10,640",0,"11,270","18,000",0,"8,260",0,0,0,0,0,"27,830,000.00","120,538.00",unknown,"25,381,085",34.2,0.52,14.6,9.3,0,89,21.4,71,1.94,6.8,9.3,unknown,unknown,82,"7,435","25,554",274
